severity,area,path,issue_type,symptom,root_cause,proposed_fix,blast_radius,effort,suggested_owner
P0,BE,services/api/src/modules/inventory/inventory.module.ts,complexity,File > 1000 lines,"God Object" module definition,Split into Stock/Product sub-modules,High,Medium,Backend Lead
P0,FE,apps/web/src/modules/invoices/screens/NewInvoicePage.tsx,complexity,File > 900 lines,"God Component" UI,Extract sub-components (forms/tables),Medium,Large,Frontend Lead
P0,BE,services/api/src/modules/accounting/application/use-cases/accounting.usecases.ts,maintainability,File > 600 lines containing 8+ classes,Clustered Use Cases pattern,Split into one file per class,Low,Medium,Backend Dev
P0,BE,services/api/src/modules/cash-management/infrastructure/adapters/prisma-cash-repository.adapter.ts,security,updateRegister ignores tenantId param,Prisma update relies on ID only (IDOR risk),Add manual ownership check or RLS,Low,Small,Backend Lead
P0,Shared,packages/email-templates,build,Typecheck failure,Broken dependency types (postcss),Fix package.json versions or d.ts,High,Small,DevOps
P1,Shared,packages/offline-core,build,Typecheck failure,Compilation error in strict mode,Fix typescript errors,Medium,Small,Offline Team
P1,BE,services/api/src/modules/*/application/use-cases/*.usecases.ts,duplication,Repetitive tenantId checks,Manual validation pattern,Use Decorator or Base Class,High,Medium,Architect
P1,BE,services/api/src/modules/tax/application/services/tax-strategy-resolver.service.ts,boundary,Prisma usage in Service layer,Violates Hexagonal Arch,Move DB logic to Repository,Low,Small,Backend Dev
P2,FE,apps/web/src/shared/ui/sidebar.tsx,complexity,Hardcoded navigation logic,Logic mixed with presentation,Extract nav config to simple JSON/Check,Medium,Small,Frontend Dev
P2,BE,services/api/src/modules/documents/application/use-cases/documents.usecases.ts,complexity,File > 900 lines,Logic dump bucket,Split use cases,Low,Medium,Backend Dev
